localizacao,area_util,quartos,suites,qntd_vagas,preco
BRASÍLIA - NOROESTE,208,4.0,4.0,4.0,3488265.0
BRASÍLIA - ASA SUL,67,3.0,1.0,1.0,950000.0
BRASÍLIA - ASA NORTE,60,1.0,1.0,1.0,482480.0
BRASÍLIA - ASA NORTE,41,1.0,1.0,1.0,327200.0
BRASÍLIA - ASA NORTE,41,1.0,1.0,1.0,327200.0
BRASÍLIA - ASA NORTE,36,1.0,1.0,1.0,289360.0
BRASÍLIA - SUDOESTE,76,2.0,1.0,1.0,1295000.0
BRASÍLIA - NOROESTE,522,4.0,4.0,5.0,7800000.0
BRASÍLIA - ASA NORTE,125,3.0,1.0,1.0,1680000.0
BRASÍLIA - SUDOESTE,139,3.0,2.0,3.0,2700000.0
BRASÍLIA - PARK SUL,34,1.0,2.0,1.0,490000.0
BRASÍLIA - ASA NORTE,139,3.0,1.0,1.0,1930000.0
BRASÍLIA - ASA NORTE,167,4.0,1.0,1.0,2099000.0
BRASÍLIA - SUDOESTE,77,3.0,1.0,1.0,1130000.0
BRASÍLIA - ASA NORTE,105,3.0,1.0,1.0,860000.0
BRASÍLIA - ASA NORTE,125,3.0,1.0,1.0,1520000.0
BRASÍLIA - ASA NORTE,46,2.0,1.0,1.0,563000.0
BRASÍLIA - ASA SUL,106,3.0,1.0,1.0,1500000.0
BRASÍLIA - NOROESTE,137,3.0,1.0,3.0,2290000.0
BRASÍLIA - ASA SUL,100,3.0,3.0,1.0,1730000.0
BRASÍLIA - NOROESTE,225,3.0,1.0,3.0,3200000.0
BRASÍLIA - PARK SUL,117,4.0,3.0,2.0,1790000.0
BRASÍLIA - NOROESTE,66,1.0,3.0,2.0,878000.0
BRASÍLIA - ASA SUL,137,3.0,1.0,1.0,1650000.0
BRASÍLIA - ASA NORTE,45,2.0,1.0,1.0,630000.0
BRASÍLIA - ASA NORTE,202,4.0,2.0,2.0,2180000.0
BRASÍLIA - ASA SUL,60,2.0,1.0,1.0,800000.0
BRASÍLIA - ASA NORTE,110,3.0,1.0,1.0,1380000.0
BRASÍLIA - ASA NORTE,194,4.0,4.0,3.0,3675000.0
BRASÍLIA - ASA NORTE,75,2.0,1.0,1.0,870000.0
BRASÍLIA - ASA NORTE,137,3.0,1.0,1.0,1630000.0
BRASÍLIA - ASA NORTE,118,3.0,1.0,1.0,1190000.0
BRASÍLIA - SUDOESTE,24,1.0,1.0,1.0,440000.0
BRASÍLIA - SUDOESTE,194,4.0,3.0,2.0,2490000.0
BRASÍLIA - ASA NORTE,107,3.0,1.0,1.0,1450000.0
BRASÍLIA - ASA NORTE,184,2.0,2.0,1.0,1360000.0
BRASÍLIA - NOROESTE,157,2.0,2.0,3.0,2090000.0
BRASÍLIA - SUDOESTE,130,4.0,1.0,2.0,1690000.0
BRASÍLIA - NOROESTE,303,3.0,3.0,4.0,4500000.0
BRASÍLIA - LAGO NORTE,43,1.0,1.0,1.0,540000.0
BRASÍLIA - ASA NORTE,25,1.0,1.0,1.0,315000.0
BRASÍLIA - ASA SUL,215,4.0,2.0,2.0,2800000.0
BRASÍLIA - ASA SUL,166,3.0,1.0,1.0,1890000.0
BRASÍLIA - NOROESTE,223,4.0,4.0,2.0,3080000.0
BRASÍLIA - ASA SUL,143,3.0,1.0,1.0,1650000.0
BRASÍLIA - SUDOESTE,124,4.0,1.0,2.0,2200000.0
BRASÍLIA - PARK SUL,78,3.0,3.0,2.0,1090000.0
BRASÍLIA - SUDOESTE,70,3.0,2.0,1.0,1060000.0
BRASÍLIA - SUDOESTE,79,1.0,1.0,1.0,1250000.0
BRASÍLIA - NOROESTE,188,3.0,3.0,4.0,3130000.0
BRASÍLIA - SUDOESTE,120,4.0,1.0,2.0,1695000.0
BRASÍLIA - ASA SUL,154,3.0,1.0,1.0,1580000.0
BRASÍLIA - ASA NORTE,53,1.0,1.0,1.0,850000.0
BRASÍLIA - ASA NORTE,31,1.0,1.0,1.0,189000.0
BRASÍLIA - ASA NORTE,121,4.0,1.0,1.0,1395000.0
BRASÍLIA - ASA NORTE,167,4.0,1.0,1.0,2099000.0
BRASÍLIA - ASA SUL,110,3.0,1.0,1.0,1500000.0
BRASÍLIA - NOROESTE,118,3.0,1.0,2.0,2190000.0
BRASÍLIA - SUDOESTE,140,4.0,1.0,2.0,1900000.0
BRASÍLIA - LAGO NORTE,40,1.0,1.0,1.0,479000.0
BRASÍLIA - PARK SUL,75,2.0,2.0,2.0,1020000.0
BRASÍLIA - ASA NORTE,57,2.0,1.0,1.0,689000.0
BRASÍLIA - ASA SUL,112,3.0,1.0,1.0,1545000.0
BRASÍLIA - ASA SUL,126,3.0,1.0,1.0,2050000.0
BRASÍLIA - SUDOESTE,83,2.0,1.0,1.0,1290000.0
BRASÍLIA - ASA SUL,132,3.0,1.0,1.0,1945000.0
BRASÍLIA - ASA NORTE,103,3.0,1.0,1.0,1230000.0
BRASÍLIA - NOROESTE,110,3.0,1.0,2.0,1780000.0
BRASÍLIA - ASA NORTE,96,3.0,1.0,1.0,1350000.0
BRASÍLIA - ASA NORTE,32,1.0,1.0,1.0,500000.0
BRASÍLIA - LAGO NORTE,64,2.0,1.0,2.0,900000.0
BRASÍLIA - SUDOESTE,27,1.0,2.0,2.0,378000.0
BRASÍLIA - ASA NORTE,117,3.0,1.0,1.0,1550000.0
BRASÍLIA - NOROESTE,163,4.0,3.0,2.0,2450000.0
BRASÍLIA - ASA SUL,44,2.0,1.0,1.0,635000.0
BRASÍLIA - SUDOESTE,81,3.0,1.0,1.0,1099000.0
BRASÍLIA - LAGO NORTE,33,1.0,1.0,1.0,365000.0
BRASÍLIA - LAGO NORTE,29,1.0,1.0,1.0,350000.0
BRASÍLIA - LAGO NORTE,25,1.0,1.0,1.0,295000.0
BRASÍLIA - NOROESTE,201,4.0,4.0,4.0,3496000.0
BRASÍLIA - PARK SUL,134,2.0,1.0,2.0,1490000.0
BRASÍLIA - SUDOESTE,513,4.0,3.0,3.0,9800000.0
BRASÍLIA - NOROESTE,275,4.0,4.0,3.0,3600000.0
BRASÍLIA - NOROESTE,223,3.0,1.0,2.0,2410000.0
BRASÍLIA - ASA NORTE,127,4.0,2.0,2.0,2069000.0
BRASÍLIA - NOROESTE,103,3.0,1.0,1.0,1480000.0
BRASÍLIA - ASA SUL,178,3.0,1.0,1.0,2500000.0
BRASÍLIA - ASA NORTE,79,3.0,1.0,1.0,799000.0
BRASÍLIA - NOROESTE,170,2.0,1.0,3.0,1990000.0
BRASÍLIA - SUDOESTE,60,2.0,2.0,1.0,750000.0
BRASÍLIA - PARK SUL,27,1.0,1.0,2.0,410000.0
BRASÍLIA - NOROESTE,118,3.0,2.0,2.0,2190000.0
BRASÍLIA - ASA NORTE,80,2.0,1.0,1.0,920000.0
BRASÍLIA - PARK SUL,42,1.0,1.0,1.0,657794.0
BRASÍLIA - NOROESTE,205,3.0,3.0,4.0,3575000.0
BRASÍLIA - NOROESTE,110,3.0,2.0,4.0,1590000.0
BRASÍLIA - NOROESTE,169,4.0,4.0,3.0,2600000.0
BRASÍLIA - LAGO NORTE,110,2.0,1.0,2.0,1210000.0
BRASÍLIA - LAGO NORTE,48,2.0,1.0,1.0,449000.0
BRASÍLIA - ASA NORTE,95,3.0,1.0,1.0,840000.0
BRASÍLIA - ASA NORTE,180,5.0,1.0,1.0,3199000.0
BRASÍLIA - ASA SUL,100,3.0,1.0,1.0,1350000.0
BRASÍLIA - ASA NORTE,100,3.0,1.0,1.0,1599000.0
BRASÍLIA - ASA NORTE,40,2.0,1.0,1.0,610000.0
BRASÍLIA - LAGO NORTE,47,1.0,1.0,1.0,670000.0
BRASÍLIA - ASA NORTE,270,4.0,3.0,3.0,3100000.0
BRASÍLIA - ASA SUL,131,4.0,1.0,1.0,2200000.0
BRASÍLIA - ASA NORTE,205,3.0,1.0,2.0,3170000.0
BRASÍLIA - ASA NORTE,181,4.0,2.0,1.0,1950000.0
BRASÍLIA - ASA NORTE,246,4.0,3.0,2.0,3100000.0
BRASÍLIA - NOROESTE,203,3.0,3.0,3.0,3099000.0
BRASÍLIA - NOROESTE,149,2.0,2.0,3.0,1850000.0
BRASÍLIA - PARK SUL,42,1.0,2.0,1.0,681958.0
BRASÍLIA - PARK SUL,32,1.0,2.0,1.0,537271.0
BRASÍLIA - ASA NORTE,109,3.0,1.0,2.0,1720000.0
BRASÍLIA - PARK SUL,75,1.0,1.0,2.0,952063.0
BRASÍLIA - SUDOESTE,99,3.0,1.0,1.0,1390000.0
BRASÍLIA - NOROESTE,175,2.0,1.0,3.0,1780000.0
BRASÍLIA - NOROESTE,86,2.0,1.0,2.0,1690000.0
BRASÍLIA - NOROESTE,103,3.0,1.0,2.0,1650000.0
BRASÍLIA - NOROESTE,33,1.0,3.0,1.0,480000.0
BRASÍLIA - ASA SUL,52,1.0,1.0,2.0,805000.0
BRASÍLIA - ASA NORTE,211,3.0,1.0,2.0,2997000.0
BRASÍLIA - PARK SUL,70,2.0,1.0,1.0,1195000.0
BRASÍLIA - NOROESTE,77,2.0,1.0,2.0,1297000.0
BRASÍLIA - OCTOGONAL,164,3.0,2.0,1.0,2700000.0
BRASÍLIA - ASA SUL,66,2.0,1.0,1.0,1160000.0
BRASÍLIA - SUDOESTE,63,2.0,2.0,2.0,749000.0
BRASÍLIA - ASA SUL,164,4.0,1.0,1.0,2216000.0
BRASÍLIA - SUDOESTE,30,1.0,1.0,1.0,398000.0
BRASÍLIA - ASA SUL,155,3.0,1.0,1.0,1850000.0
BRASÍLIA - SUDOESTE,60,2.0,1.0,2.0,785000.0
BRASÍLIA - SUDOESTE,105,3.0,1.0,1.0,1530000.0
BRASÍLIA - PARK SUL,23,1.0,1.0,1.0,420000.0
BRASÍLIA - SUDOESTE,90,3.0,2.0,1.0,1140000.0
BRASÍLIA - NOROESTE,166,3.0,2.0,4.0,2950000.0
BRASÍLIA - ASA SUL,85,2.0,1.0,1.0,1200000.0
BRASÍLIA - ASA NORTE,143,4.0,2.0,2.0,1830000.0
BRASÍLIA - NOROESTE,246,4.0,4.0,4.0,4450000.0
BRASÍLIA - NOROESTE,116,3.0,2.0,2.0,1740000.0
BRASÍLIA - NOROESTE,37,1.0,1.0,2.0,580000.0
BRASÍLIA - SUDOESTE,117,3.0,1.0,1.0,1699000.0
BRASÍLIA - NOROESTE,408,4.0,4.0,4.0,5851495.0
BRASÍLIA - SUDOESTE,129,4.0,1.0,2.0,1730000.0
BRASÍLIA - OCTOGONAL,68,2.0,1.0,1.0,880000.0
BRASÍLIA - SUDOESTE,72,2.0,1.0,1.0,1150000.0
BRASÍLIA - SUDOESTE,148,4.0,2.0,2.0,2190000.0
BRASÍLIA - SUDOESTE,22,1.0,2.0,2.0,220000.0
BRASÍLIA - NOROESTE,177,5.0,2.0,3.0,2890000.0
BRASÍLIA - ASA NORTE,45,1.0,1.0,1.0,730000.0
BRASÍLIA - PARK SUL,60,1.0,2.0,1.0,750000.0
BRASÍLIA - ASA SUL,178,3.0,1.0,1.0,2200000.0
BRASÍLIA - NOROESTE,303,3.0,3.0,3.0,5700000.0
BRASÍLIA - LAGO NORTE,67,2.0,1.0,1.0,660000.0
BRASÍLIA - SUDOESTE,167,3.0,1.0,2.0,2200000.0
BRASÍLIA - ASA NORTE,290,4.0,2.0,2.0,3690000.0
BRASÍLIA - ASA SUL,156,3.0,1.0,2.0,1660000.0
BRASÍLIA - ASA SUL,140,3.0,1.0,1.0,1650000.0
BRASÍLIA - ASA NORTE,86,3.0,1.0,1.0,1400000.0
BRASÍLIA - ASA SUL,118,4.0,1.0,1.0,1395900.0
BRASÍLIA - ASA NORTE,95,3.0,1.0,1.0,740000.0
BRASÍLIA - ASA NORTE,34,1.0,1.0,1.0,380000.0
BRASÍLIA - ASA NORTE,260,3.0,2.0,3.0,4300000.0
BRASÍLIA - SUDOESTE,110,4.0,1.0,2.0,1550000.0
BRASÍLIA - PARK SUL,74,2.0,2.0,1.0,1320000.0
BRASÍLIA - NOROESTE,127,3.0,2.0,2.0,1635000.0
BRASÍLIA - ASA SUL,43,2.0,1.0,1.0,575000.0
BRASÍLIA - ASA NORTE,247,4.0,2.0,2.0,2150000.0
BRASÍLIA - SUDOESTE,144,4.0,3.0,2.0,2290000.0
BRASÍLIA - NOROESTE,30,1.0,3.0,1.0,450000.0
BRASÍLIA - ASA NORTE,300,4.0,1.0,1.0,3199000.0
BRASÍLIA - ASA NORTE,128,3.0,3.0,2.0,2650000.0
BRASÍLIA - ASA NORTE,36,1.0,1.0,1.0,410000.0
BRASÍLIA - ASA NORTE,94,3.0,1.0,1.0,1599000.0
BRASÍLIA - ASA NORTE,73,2.0,1.0,1.0,1080000.0
BRASÍLIA - ASA SUL,154,3.0,1.0,1.0,2100000.0
BRASÍLIA - ASA NORTE,200,2.0,2.0,2.0,2180000.0
BRASÍLIA - SUDOESTE,139,4.0,1.0,2.0,1900000.0
BRASÍLIA - ASA NORTE,202,2.0,2.0,2.0,2180000.0
BRASÍLIA - ASA SUL,210,4.0,1.0,2.0,3100000.0
BRASÍLIA - ASA SUL,75,2.0,1.0,1.0,1100000.0
BRASÍLIA - NOROESTE,166,4.0,2.0,3.0,2570000.0
BRASÍLIA - NOROESTE,185,4.0,4.0,3.0,2849000.0
BRASÍLIA - ASA NORTE,108,1.0,1.0,2.0,1200000.0
BRASÍLIA - ASA NORTE,104,3.0,1.0,1.0,1250000.0
BRASÍLIA - NOROESTE,152,4.0,3.0,4.0,2320000.0
BRASÍLIA - NOROESTE,298,4.0,4.0,4.0,3870000.0
BRASÍLIA - SUDOESTE,61,2.0,2.0,2.0,830000.0
BRASÍLIA - NOROESTE,143,4.0,4.0,2.0,2390000.0
BRASÍLIA - SUDOESTE,26,1.0,1.0,1.0,546000.0
BRASÍLIA - LAGO NORTE,120,1.0,1.0,1.0,1150000.0
BRASÍLIA - SUDOESTE,208,3.0,2.0,2.0,2380000.0
BRASÍLIA - SUDOESTE,100,3.0,1.0,1.0,1250000.0
BRASÍLIA - PARK SUL,79,3.0,3.0,2.0,1320000.0
BRASÍLIA - NOROESTE,225,3.0,3.0,4.0,3490000.0
BRASÍLIA - ASA NORTE,257,4.0,3.0,1.0,3500000.0
BRASÍLIA - NOROESTE,112,3.0,3.0,3.0,1790000.0
BRASÍLIA - ASA SUL,148,4.0,1.0,1.0,2250000.0
BRASÍLIA - OCTOGONAL,125,4.0,1.0,1.0,1895000.0
BRASÍLIA - ASA NORTE,135,3.0,2.0,1.0,1650000.0
BRASÍLIA - NOROESTE,41,1.0,1.0,1.0,729000.0
BRASÍLIA - NOROESTE,170,3.0,3.0,3.0,2760000.0
BRASÍLIA - SUDOESTE,279,4.0,4.0,4.0,4850000.0
BRASÍLIA - ASA SUL,154,3.0,1.0,1.0,1829000.0
BRASÍLIA - NOROESTE,160,4.0,2.0,3.0,2390000.0
BRASÍLIA - ASA SUL,136,3.0,1.0,1.0,1450000.0
BRASÍLIA - ASA NORTE,104,1.0,1.0,1.0,1180000.0
BRASÍLIA - NOROESTE,309,5.0,5.0,4.0,5480000.0
BRASÍLIA - ASA NORTE,110,2.0,1.0,1.0,1400000.0
BRASÍLIA - ASA SUL,77,3.0,1.0,1.0,795000.0
BRASÍLIA - ASA NORTE,169,4.0,2.0,2.0,2200000.0
BRASÍLIA - ASA NORTE,237,4.0,4.0,2.0,3150000.0
BRASÍLIA - ASA NORTE,33,1.0,1.0,1.0,645000.0
BRASÍLIA - NOROESTE,216,4.0,3.0,3.0,3100000.0
BRASÍLIA - ASA SUL,200,4.0,1.0,1.0,2590000.0
BRASÍLIA - ASA NORTE,155,4.0,1.0,2.0,2150000.0
BRASÍLIA - NOROESTE,170,4.0,3.0,4.0,2900000.0
BRASÍLIA - NOROESTE,215,4.0,4.0,4.0,3383462.0
BRASÍLIA - ASA NORTE,140,3.0,1.0,1.0,1650000.0
BRASÍLIA - ASA NORTE,127,4.0,1.0,2.0,1500000.0
BRASÍLIA - ASA SUL,63,2.0,1.0,1.0,900000.0
BRASÍLIA - SUDOESTE,172,4.0,4.0,3.0,3225000.0
BRASÍLIA - ASA SUL,33,1.0,1.0,1.0,430000.0
BRASÍLIA - NOROESTE,203,3.0,3.0,3.0,2899000.0
BRASÍLIA - ASA SUL,44,2.0,1.0,1.0,650000.0
BRASÍLIA - ASA NORTE,80,3.0,1.0,1.0,780000.0
BRASÍLIA - PARK SUL,60,1.0,1.0,1.0,680000.0
BRASÍLIA - NOROESTE,201,2.0,1.0,2.0,2218480.0
BRASÍLIA - ASA SUL,125,3.0,1.0,1.0,1190000.0
BRASÍLIA - SUDOESTE,63,2.0,2.0,2.0,590000.0
BRASÍLIA - NOROESTE,301,4.0,4.0,4.0,4011879.0
BRASÍLIA - ASA SUL,140,3.0,1.0,1.0,2200000.0
BRASÍLIA - ASA NORTE,134,3.0,1.0,1.0,1580000.0
BRASÍLIA - ASA SUL,120,3.0,1.0,1.0,1450000.0
BRASÍLIA - ASA NORTE,95,3.0,1.0,1.0,990000.0
BRASÍLIA - NOROESTE,272,4.0,4.0,4.0,3800000.0
BRASÍLIA - ASA NORTE,28,1.0,1.0,1.0,310000.0
BRASÍLIA - ASA SUL,168,3.0,1.0,1.0,2300000.0
BRASÍLIA - NOROESTE,122,3.0,3.0,3.0,1850000.0
BRASÍLIA - NOROESTE,120,3.0,3.0,3.0,1920000.0
BRASÍLIA - ASA NORTE,76,3.0,1.0,1.0,799900.0
BRASÍLIA - NOROESTE,210,4.0,4.0,3.0,3627594.0
BRASÍLIA - NOROESTE,522,4.0,4.0,5.0,8100000.0
BRASÍLIA - PARK SUL,120,3.0,3.0,2.0,1795000.0
BRASÍLIA - ASA NORTE,90,2.0,1.0,1.0,1250000.0
BRASÍLIA - ASA NORTE,28,1.0,1.0,1.0,280000.0
BRASÍLIA - ASA NORTE,132,3.0,1.0,1.0,1850000.0
BRASÍLIA - ASA NORTE,45,1.0,1.0,1.0,610000.0
BRASÍLIA - NOROESTE,43,1.0,3.0,1.0,550000.0
BRASÍLIA - NOROESTE,291,4.0,4.0,4.0,4300000.0
BRASÍLIA - ASA NORTE,55,1.0,1.0,1.0,720000.0
BRASÍLIA - NOROESTE,84,2.0,2.0,1.0,1285000.0
BRASÍLIA - ASA NORTE,30,1.0,1.0,1.0,399000.0
BRASÍLIA - SUDOESTE,173,3.0,3.0,4.0,2599000.0
BRASÍLIA - SUDOESTE,230,4.0,4.0,4.0,4740000.0
BRASÍLIA - ASA SUL,114,2.0,1.0,1.0,2499999.0
BRASÍLIA - NOROESTE,34,1.0,3.0,1.0,570000.0
BRASÍLIA - SUDOESTE,172,4.0,4.0,3.0,3492013.0
BRASÍLIA - PARK SUL,120,3.0,2.0,2.0,1790000.0
BRASÍLIA - SUDOESTE,148,4.0,2.0,2.0,2389000.0
BRASÍLIA - PARK SUL,27,1.0,1.0,1.0,350000.0
BRASÍLIA - SUDOESTE,52,2.0,2.0,1.0,790000.0
BRASÍLIA - ASA NORTE,270,5.0,3.0,3.0,3100000.0
BRASÍLIA - SUDOESTE,75,1.0,1.0,1.0,1480000.0
BRASÍLIA - ASA NORTE,90,3.0,1.0,1.0,1249000.0
BRASÍLIA - SUDOESTE,194,4.0,2.0,2.0,2500000.0
BRASÍLIA - ASA NORTE,42,1.0,1.0,1.0,200000.0
BRASÍLIA - ASA NORTE,176,3.0,1.0,2.0,2590000.0
BRASÍLIA - SUDOESTE,98,3.0,1.0,1.0,1340000.0
BRASÍLIA - ASA NORTE,125,3.0,2.0,1.0,1290000.0
BRASÍLIA - ASA SUL,53,1.0,1.0,1.0,749000.0
BRASÍLIA - JARDIM BOTANICO,326,4.0,2.0,6.0,1300000.0
BRASÍLIA - NOROESTE,75,2.0,2.0,1.0,1450000.0
BRASÍLIA - NOROESTE,96,3.0,1.0,2.0,1450000.0
BRASÍLIA - ASA NORTE,134,3.0,1.0,1.0,1690000.0
BRASÍLIA - NOROESTE,303,4.0,4.0,4.0,5700000.0
BRASÍLIA - ASA SUL,157,3.0,1.0,1.0,1950000.0
BRASÍLIA - PARK SUL,70,2.0,2.0,1.0,1100000.0
BRASÍLIA - NOROESTE,48,1.0,3.0,3.0,639000.0
BRASÍLIA - SUDOESTE,25,1.0,1.0,1.0,385000.0
BRASÍLIA - ASA SUL,110,3.0,1.0,1.0,1495000.0
BRASÍLIA - JARDIM BOTANICO,32,1.0,2.5,4.0,180000.0
BRASÍLIA - NOROESTE,87,2.0,1.0,2.0,1500000.0
BRASÍLIA - NOROESTE,245,3.0,3.0,3.0,3245000.0
BRASÍLIA - ASA NORTE,38,1.0,1.0,1.0,380000.0
BRASÍLIA - ASA NORTE,132,3.0,1.0,1.0,1790000.0
BRASÍLIA - NOROESTE,170,2.0,1.0,2.0,2039000.0
BRASÍLIA - ASA NORTE,200,2.0,1.0,1.0,2750000.0
BRASÍLIA - SUDOESTE,194,4.0,2.0,2.0,2500000.0
BRASÍLIA - NOROESTE,404,4.0,4.0,5.0,5851495.0
BRASÍLIA - NOROESTE,193,4.0,3.0,3.0,3500000.0
BRASÍLIA - ASA SUL,138,3.0,1.0,1.0,1480000.0
BRASÍLIA - NOROESTE,71,2.0,1.0,1.0,1270000.0
BRASÍLIA - LAGO NORTE,43,1.0,1.0,1.0,520000.0
BRASÍLIA - NOROESTE,60,2.0,1.0,1.0,1120000.0
BRASÍLIA - ASA NORTE,40,1.0,1.0,1.0,400000.0
BRASÍLIA - ASA NORTE,77,3.0,1.0,1.0,899000.0
BRASÍLIA - ASA NORTE,90,3.0,1.0,1.0,1249000.0
BRASÍLIA - SUDOESTE,28,1.0,1.0,1.0,358000.0
BRASÍLIA - SUDOESTE,171,3.0,2.0,2.0,2145000.0
BRASÍLIA - SUDOESTE,72,3.0,2.0,1.0,989000.0
BRASÍLIA - ASA NORTE,279,4.0,2.0,1.0,3099000.0
BRASÍLIA - ASA NORTE,95,3.0,1.0,1.0,1100000.0
BRASÍLIA - ASA SUL,120,3.0,1.0,1.0,1440000.0
BRASÍLIA - ASA SUL,90,3.0,1.0,1.0,979990.0
BRASÍLIA - SUDOESTE,105,3.0,1.0,1.0,1395000.0
BRASÍLIA - SUDOESTE,60,2.0,2.0,2.0,680000.0
BRASÍLIA - SUDOESTE,25,1.0,2.0,1.0,350000.0
BRASÍLIA - NOROESTE,167,4.0,4.0,3.0,3050000.0
BRASÍLIA - ASA SUL,85,3.0,1.0,1.0,995000.0
BRASÍLIA - ASA SUL,110,3.0,1.0,1.0,1790000.0
BRASÍLIA - ASA SUL,211,4.0,1.0,2.0,3100000.0
BRASÍLIA - ASA NORTE,134,3.0,1.0,1.0,1580000.0
BRASÍLIA - ASA NORTE,82,2.0,1.0,1.0,1125000.0
BRASÍLIA - PARK SUL,80,3.0,3.0,2.0,1200000.0
BRASÍLIA - ASA NORTE,94,3.0,1.0,1.0,1350000.0
BRASÍLIA - PARK SUL,126,4.0,4.0,2.0,1800000.0
BRASÍLIA - ASA SUL,169,4.0,1.0,1.0,1600000.0
BRASÍLIA - SUDOESTE,145,4.0,3.0,2.0,1950000.0
BRASÍLIA - PARK SUL,138,3.0,3.0,3.0,2300000.0
BRASÍLIA - NOROESTE,85,2.0,1.0,2.0,1290000.0
BRASÍLIA - SUDOESTE,66,1.0,1.0,2.0,735000.0
